[Epoch 217/5000][train LL: -229.75; val LL: -260.13].....[train forward+backward+step 9.30; val forward 0.62]
[Epoch 218/5000][train LL: -230.96; val LL: -260.22].....[train forward+backward+step 9.28; val forward 0.64]
[Epoch 219/5000][train LL: -231.88; val LL: -260.20].....[train forward+backward+step 9.45; val forward 0.61]
[Epoch 220/5000][train LL: -231.10; val LL: -260.08].....[train forward+backward+step 9.40; val forward 0.62]
[Epoch 221/5000][train LL: -229.51; val LL: -259.82].....[train forward+backward+step 9.34; val forward 0.63]
[Epoch 222/5000][train LL: -230.77; val LL: -259.75].....[train forward+backward+step 9.34; val forward 0.62]
[Epoch 223/5000][train LL: -231.52; val LL: -259.56].....[train forward+backward+step 9.38; val forward 0.60]
[Epoch 224/5000][train LL: -231.69; val LL: -259.33].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 225/5000][train LL: -230.04; val LL: -259.07].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 226/5000][train LL: -227.85; val LL: -258.75].....[train forward+backward+step 9.22; val forward 0.64]
[Epoch 227/5000][train LL: -230.05; val LL: -258.79].....[train forward+backward+step 9.29; val forward 0.62]
[Epoch 228/5000][train LL: -231.73; val LL: -258.82].....[train forward+backward+step 9.35; val forward 0.60]
[Epoch 229/5000][train LL: -229.38; val LL: -258.60].....[train forward+backward+step 9.35; val forward 0.62]
[Epoch 230/5000][train LL: -231.61; val LL: -258.36].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 231/5000][train LL: -229.56; val LL: -258.08].....[train forward+backward+step 9.18; val forward 0.61]
[Epoch 232/5000][train LL: -229.23; val LL: -257.82].....[train forward+backward+step 9.26; val forward 0.62]
[Epoch 233/5000][train LL: -228.20; val LL: -257.51].....[train forward+backward+step 9.28; val forward 0.62]
[Epoch 234/5000][train LL: -228.70; val LL: -257.37].....[train forward+backward+step 9.27; val forward 0.65]
[Epoch 235/5000][train LL: -228.30; val LL: -257.15].....[train forward+backward+step 9.24; val forward 0.61]
[Epoch 236/5000][train LL: -227.20; val LL: -256.96].....[train forward+backward+step 9.22; val forward 0.61]
[Epoch 237/5000][train LL: -227.50; val LL: -256.90].....[train forward+backward+step 9.17; val forward 0.61]
[Epoch 238/5000][train LL: -230.45; val LL: -256.99].....[train forward+backward+step 9.22; val forward 0.62]
[Epoch 239/5000][train LL: -226.41; val LL: -256.66].....[train forward+backward+step 9.28; val forward 0.61]
[Epoch 240/5000][train LL: -225.85; val LL: -256.53].....[train forward+backward+step 9.52; val forward 0.62]
[Epoch 241/5000][train LL: -228.26; val LL: -256.63].....[train forward+backward+step 9.39; val forward 0.62]
[Epoch 242/5000][train LL: -225.17; val LL: -256.48].....[train forward+backward+step 9.30; val forward 0.61]
[Epoch 243/5000][train LL: -229.16; val LL: -256.46].....[train forward+backward+step 9.24; val forward 0.61]
[Epoch 244/5000][train LL: -226.88; val LL: -256.19].....[train forward+backward+step 9.37; val forward 0.61]
[Epoch 245/5000][train LL: -228.86; val LL: -256.17].....[train forward+backward+step 9.21; val forward 0.62]
[Epoch 246/5000][train LL: -228.01; val LL: -255.91].....[train forward+backward+step 9.30; val forward 0.61]
[Epoch 247/5000][train LL: -225.40; val LL: -255.81].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 248/5000][train LL: -227.54; val LL: -255.59].....[train forward+backward+step 9.27; val forward 0.61]
[Epoch 249/5000][train LL: -226.14; val LL: -255.57].....[train forward+backward+step 9.22; val forward 0.61]
[Epoch 250/5000][train LL: -227.95; val LL: -255.53].....[train forward+backward+step 9.28; val forward 0.62]
[Epoch 251/5000][train LL: -226.08; val LL: -255.54].....[train forward+backward+step 9.43; val forward 0.63]
[Epoch 252/5000][train LL: -227.37; val LL: -255.39].....[train forward+backward+step 9.50; val forward 0.61]
[Epoch 253/5000][train LL: -227.12; val LL: -255.34].....[train forward+backward+step 9.28; val forward 0.62]
[Epoch 254/5000][train LL: -227.94; val LL: -255.17].....[train forward+backward+step 9.47; val forward 0.61]
[Epoch 255/5000][train LL: -225.09; val LL: -255.05].....[train forward+backward+step 9.27; val forward 0.63]
[Epoch 256/5000][train LL: -224.64; val LL: -255.04].....[train forward+backward+step 9.28; val forward 0.63]
[Epoch 257/5000][train LL: -225.09; val LL: -254.63].....[train forward+backward+step 9.29; val forward 0.61]
[Epoch 258/5000][train LL: -226.43; val LL: -254.80].....[train forward+backward+step 9.17; val forward 0.60]
[Epoch 259/5000][train LL: -226.76; val LL: -254.93].....[train forward+backward+step 9.29; val forward 0.60]
[Epoch 260/5000][train LL: -225.86; val LL: -254.76].....[train forward+backward+step 9.31; val forward 0.65]
[Epoch 261/5000][train LL: -226.40; val LL: -255.02].....[train forward+backward+step 9.21; val forward 0.60]
[Epoch 262/5000][train LL: -226.52; val LL: -254.85].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 263/5000][train LL: -226.75; val LL: -254.87].....[train forward+backward+step 9.58; val forward 0.64]
[Epoch 264/5000][train LL: -225.30; val LL: -254.59].....[train forward+backward+step 9.48; val forward 0.61]
