[Epoch 186/5000][train LL: -227.15; val LL: -223.98].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 187/5000][train LL: -226.84; val LL: -223.86].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 188/5000][train LL: -227.10; val LL: -223.68].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 189/5000][train LL: -226.64; val LL: -223.48].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 190/5000][train LL: -226.48; val LL: -223.30].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 191/5000][train LL: -226.58; val LL: -223.11].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 192/5000][train LL: -226.17; val LL: -222.81].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 193/5000][train LL: -225.60; val LL: -222.64].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 194/5000][train LL: -225.50; val LL: -222.29].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 195/5000][train LL: -225.65; val LL: -222.10].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 196/5000][train LL: -225.37; val LL: -221.92].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 197/5000][train LL: -224.90; val LL: -221.71].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 198/5000][train LL: -224.40; val LL: -221.48].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 199/5000][train LL: -224.74; val LL: -221.27].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 200/5000][train LL: -223.94; val LL: -220.99].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 201/5000][train LL: -223.92; val LL: -220.82].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 202/5000][train LL: -223.78; val LL: -220.71].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 203/5000][train LL: -224.06; val LL: -220.64].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 204/5000][train LL: -223.49; val LL: -220.47].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 205/5000][train LL: -223.45; val LL: -220.42].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 206/5000][train LL: -223.28; val LL: -220.31].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 207/5000][train LL: -223.33; val LL: -220.23].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 208/5000][train LL: -222.97; val LL: -220.12].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 209/5000][train LL: -223.39; val LL: -220.03].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 210/5000][train LL: -222.90; val LL: -219.94].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 211/5000][train LL: -223.16; val LL: -219.84].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 212/5000][train LL: -223.15; val LL: -219.82].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 213/5000][train LL: -222.70; val LL: -219.71].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 214/5000][train LL: -222.82; val LL: -219.77].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 215/5000][train LL: -222.26; val LL: -219.68].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 216/5000][train LL: -222.36; val LL: -219.69].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 217/5000][train LL: -222.30; val LL: -219.55].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 218/5000][train LL: -222.32; val LL: -219.52].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 219/5000][train LL: -222.70; val LL: -219.43].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 220/5000][train LL: -221.98; val LL: -219.41].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 221/5000][train LL: -222.31; val LL: -219.28].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 222/5000][train LL: -222.09; val LL: -219.29].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 223/5000][train LL: -221.82; val LL: -219.14].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 224/5000][train LL: -221.74; val LL: -219.01].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 225/5000][train LL: -221.77; val LL: -218.90].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 226/5000][train LL: -221.94; val LL: -218.69].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 227/5000][train LL: -221.46; val LL: -218.51].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 228/5000][train LL: -221.46; val LL: -218.38].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 229/5000][train LL: -221.31; val LL: -218.21].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 230/5000][train LL: -221.31; val LL: -217.96].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 231/5000][train LL: -220.75; val LL: -217.68].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 232/5000][train LL: -220.37; val LL: -217.53].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 233/5000][train LL: -220.34; val LL: -217.42].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 234/5000][train LL: -220.51; val LL: -217.28].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 235/5000][train LL: -219.91; val LL: -217.14].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 236/5000][train LL: -219.65; val LL: -216.95].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 237/5000][train LL: -220.24; val LL: -216.82].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 238/5000][train LL: -219.73; val LL: -216.68].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 239/5000][train LL: -219.99; val LL: -216.62].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 240/5000][train LL: -219.46; val LL: -216.43].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 241/5000][train LL: -219.35; val LL: -216.42].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 242/5000][train LL: -219.47; val LL: -216.36].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 243/5000][train LL: -219.18; val LL: -216.33].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 244/5000][train LL: -219.32; val LL: -216.22].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 245/5000][train LL: -218.64; val LL: -216.13].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 246/5000][train LL: -218.91; val LL: -216.05].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 247/5000][train LL: -218.66; val LL: -215.84].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 248/5000][train LL: -218.28; val LL: -215.79].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 249/5000][train LL: -218.97; val LL: -215.65].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 250/5000][train LL: -218.20; val LL: -215.49].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 251/5000][train LL: -217.42; val LL: -215.36].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 252/5000][train LL: -217.91; val LL: -215.24].....[train forward+backward+step 5.41; val forward 0.22]
[Epoch 253/5000][train LL: -218.15; val LL: -215.18].....[train forward+backward+step 5.40; val forward 0.22]
[Epoch 254/5000][train LL: -217.43; val LL: -215.08].....[train forward+backward+step 5.49; val forward 0.22]
[Epoch 255/5000][train LL: -217.69; val LL: -214.90].....[train forward+backward+step 5.47; val forward 0.22]
[Epoch 256/5000][train LL: -217.79; val LL: -214.87].....[train forward+backward+step 5.49; val forward 0.22]
[Epoch 257/5000][train LL: -217.04; val LL: -214.69].....[train forward+backward+step 5.49; val forward 0.22]
[Epoch 258/5000][train LL: -217.00; val LL: -214.52].....[train forward+backward+step 5.45; val forward 0.22]
[Epoch 259/5000][train LL: -216.82; val LL: -214.51].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 260/5000][train LL: -216.76; val LL: -214.50].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 261/5000][train LL: -217.52; val LL: -214.43].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 262/5000][train LL: -217.46; val LL: -214.40].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 263/5000][train LL: -216.92; val LL: -214.36].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 264/5000][train LL: -217.18; val LL: -214.29].....[train forward+backward+step 5.38; val forward 0.22]
